name,version,directory,repository,summary,from package.json,from license,from readme
@ampproject/remapping,2.1.2,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@ampproject/remapping,https://github.com/ampproject/remapping,Apache;Apache-2.0,Apache-2.0,Apache,
@babel/code-frame,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/code-frame,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/compat-data,7.17.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/compat-data,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/core,7.17.5,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/core,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/generator,7.17.3,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-compilation-targets,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-compilation-targets,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-environment-visitor,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-environment-visitor,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-function-name,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-function-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-get-function-arity,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-get-function-arity,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-hoist-variables,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-hoist-variables,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-imports,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-module-imports,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-transforms,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-module-transforms,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-simple-access,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-simple-access,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-split-export-declaration,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-split-export-declaration,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-identifier,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-validator-identifier,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-option,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helper-validator-option,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helpers,7.17.2,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/helpers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/highlight,7.16.10,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/highlight,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/parser,7.17.3,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/parser,https://github.com/babel/babel,MIT,MIT,,
@babel/runtime,7.17.2,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/runtime,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/runtime-corejs3,7.17.2,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/runtime-corejs3,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/template,7.16.7,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/template,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/traverse,7.17.3,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/traverse,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/types,7.17.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@babel/types,https://github.com/babel/babel,MIT,MIT,MIT,
@commitlint/cli,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/cli,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/ensure,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/ensure,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/execute-rule,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/execute-rule,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/format,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/format,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/is-ignored,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/is-ignored,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/lint,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/lint,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/load,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/load,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/message,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/message,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/parse,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/parse,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/read,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/read,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/resolve-extends,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/resolve-extends,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/rules,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/rules,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/to-lines,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/to-lines,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/top-level,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/top-level,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/travis-cli,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/travis-cli,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@commitlint/types,11.0.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@commitlint/types,https://github.com/conventional-changelog/commitlint,MIT,MIT,MIT,
@eslint/eslintrc,1.1.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@eslint/eslintrc,eslint/eslintrc,MIT,MIT,MIT,MIT
@hapi/hoek,9.2.1,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@hapi/hoek,http://github.com/hapijs/hoek,BSD-3-Clause,BSD-3-Clause,,
@hapi/topo,5.1.0,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@hapi/topo,http://github.com/hapijs/topo,BSD-3-Clause,BSD-3-Clause,,
@humanwhocodes/config-array,0.9.3,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@humanwhocodes/config-array,https://github.com/humanwhocodes/config-array,Apache;Apache-2.0,Apache-2.0,Apache,
@humanwhocodes/object-schema,1.2.1,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@humanwhocodes/object-schema,https://github.com/humanwhocodes/object-schema,BSD;BSD-3-Clause,BSD-3-Clause,BSD,BSD
@jridgewell/resolve-uri,3.0.5,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@jridgewell/resolve-uri,https://github.com/jridgewell/resolve-uri,MIT,MIT,,
@jridgewell/sourcemap-codec,1.4.11,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@jridgewell/sourcemap-codec,https://github.com/jridgewell/sourcemap-codec,MIT,MIT,MIT,MIT
@jridgewell/trace-mapping,0.3.4,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@jridgewell/trace-mapping,https://github.com/jridgewell/trace-mapping,MIT,MIT,,
@lodder/grunt-postcss,3.1.1,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@lodder/grunt-postcss,C-Lodder/grunt-postcss,MIT,MIT,MIT,
@mrmlnc/readdir-enhanced,2.2.1,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@mrmlnc/readdir-enhanced,https://github.com/bigstickcarpet/readdir-enhanced,MIT,MIT,MIT,
@nodelib/fs.scandir,2.1.5,/home/travis/build/Kristinita/KristinitaPelican/node_modules/@nodelib/fs.scandir,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir,MIT,MIT,MIT,MIT
